servers,subscription
DEVCMMNWTDMDB,sub-general-nprd-01
DEVDATAQADB01,sub-general-nprd-01
DEVGCRWSQL01,sub-r1hub-nprd-01
DEVIQAR1ATRN01,sub-r1hub-nprd-01
DEVMEDEWSQL01,sub-r1hub-nprd-01
DEVR1DEWSQL02,sub-r1hub-nprd-01
DEVRHUBDTOTRN01,sub-r1hub-nprd-01
DEVRHUBIWBND04,sub-r1hub-nprd-01
DEVRHUBWTRN10,sub-r1hub-nprd-01
DEVRHUBWTRN12,sub-r1hub-nprd-01
DEVRHUBWTRN14,sub-r1hub-nprd-01
DEVRHUBWTRN17,sub-r1hub-nprd-01
DEVRHUBWTRN20,sub-r1hub-nprd-01
DEVSOAMWSQL02,sub-r1hub-nprd-01
DEVTABLWSQL01,sub-r1hub-nprd-01
DEVTABLWSQL02,sub-r1hub-nprd-01
DEVIQAR1ABND03,sub-r1hub-nprd-01
DEVIQAR1ASTG01,sub-r1hub-nprd-01
DEVRHUBIWBND03,sub-r1hub-nprd-01
DEVRHUBIWFEX01,sub-r1hub-nprd-01
DEVRHUBIWSTG03,sub-r1hub-nprd-01
DEVRHUBWBND03,sub-r1hub-nprd-01
DEVRHUBWSTG01,sub-r1hub-nprd-01
AMATUATWIQB03,sub-r1-intelligentautomation-01
AMATUATWIQB04,sub-r1-intelligentautomation-01
AMATUATWWEB04,sub-r1-intelligentautomation-01
AMATUATWWEB06,sub-r1-intelligentautomation-01
DEVAPIGWWWEB03,sub-r1hub-nprd-01
DEVCMMDWHL701,sub-r1hub-nprd-01
DEVCMMNWHL701,sub-r1hub-nprd-01
DEVCMMNWHL702,sub-r1hub-nprd-01
DEVCMMNWTDM01,sub-general-nprd-01
DEVCMMTWHL701,sub-r1hub-nprd-01
DEVGCRWAPP01,sub-r1hub-nprd-01
DEVIQAA2AWEB02,sub-r1hub-nprd-01
DEVIQAHUBBND03,sub-r1hub-nprd-01
DEVIQAR1ACOR01,sub-r1hub-nprd-01
DEVIQAR1ADS01,sub-r1hub-nprd-01
DEVIQAR1AGW01,sub-r1hub-nprd-01
DEVIQAR1AIS01,sub-r1hub-nprd-01
DEVIQAR1ARE01,sub-r1hub-nprd-01
DEVMULELAPI01,sub-general-nprd-01
DEVNEXGENWEB01,sub-r1hub-nprd-01
DEVR1CMWWEB01,sub-r1hub-nprd-01
DEVR1DEWAPP01,sub-r1hub-nprd-01
DEVRHUBWWEB07,sub-r1hub-nprd-01
DEVSOAMWDSS05,sub-r1hub-nprd-01
DEVSOAMWUMM01,sub-r1hub-nprd-01
DEVSOAMWUMM02,sub-r1hub-nprd-01
DEVSOAMWUMM03,sub-r1hub-nprd-01
DEVSOAMWUMM05,sub-r1hub-nprd-01
DEVSOAMWUMM07,sub-r1hub-nprd-01
DEVTRHUBWWEB06,sub-r1hub-nprd-01
DEVTSOAMWUMM05,sub-r1hub-nprd-01
DEVX12PWAPP01,sub-general-nprd-01
NEXGENWSOA01,sub-r1hub-nprd-01
DEVRHUBWBND06,sub-r1hub-nprd-01
DEVRHUBWCOR01,sub-r1hub-nprd-01
DEVRHUBWTRN02,sub-r1hub-nprd-01
DEVRHUBWTRN03,sub-r1hub-nprd-01
DEVRHUBWTRN08,sub-r1hub-nprd-01
DEVRHUBWTRN09,sub-r1hub-nprd-01
DEVRHUBWTRN11,sub-r1hub-nprd-01
DEVRHUBWTRN13,sub-r1hub-nprd-01
DEVRHUBWTRN15,sub-r1hub-nprd-01
DEVRHUBWTRN16,sub-r1hub-nprd-01
DEVRHUBWTRN18,sub-r1hub-nprd-01
DEVRHUBWTRN19,sub-r1hub-nprd-01
DEVRHUBWTRN21,sub-r1hub-nprd-01
DEVRHUBWTRN22,sub-r1hub-nprd-01
DEVRHUBWTRN23,sub-r1hub-nprd-01
DEVTRHUBWTRN12,sub-r1hub-nprd-01
DEVTRHUBWTRN14,sub-r1hub-nprd-01
DEVTRHUBWTRN15,sub-r1hub-nprd-01
DEVTRHUBWTRN16,sub-r1hub-nprd-01
NEXGRHUBWTRN12,sub-r1hub-nprd-01
NEXGRHUBWTRN13,sub-r1hub-nprd-01
DEVIQAR1AFEX01,sub-r1hub-nprd-01
DEVRHUBIWFEX02,sub-r1hub-nprd-01
DEVRHUBWSTG04,sub-r1hub-nprd-01
DEVTWNAWSQL01,sub-r1hub-nprd-01
NEXGENDEVDB01,sub-r1hub-nprd-01
DEVRHUBLAPP02,sub-r1hub-nprd-01
AMATUATWFIL02,sub-r1-intelligentautomation-01
AMATUATWWEB03,sub-r1-intelligentautomation-01
AMATUATWWEB05,sub-r1-intelligentautomation-01
CMNTABLWMST01,sub-r1-general-nprd-01
DEVAPIAWAPP03,sub-r1hub-nprd-01
DEVMULELAPP01,sub-r1-general-nprd-01
DEVR1DEWAPP02,sub-r1hub-nprd-01
DEVR1POWWEB01,sub-general-nprd-01
DEVRHUBIWBND05,sub-r1hub-nprd-01
DEVRHUBIWTRN01,sub-r1hub-nprd-01
DEVRHUBLAPP01,sub-r1hub-nprd-01
DEVRHUBWAPI01,sub-r1hub-nprd-01
DEVRHUBWBND07,sub-r1hub-nprd-01
DEVRHUBWSAS01,sub-r1hub-nprd-01
DEVRHUBWSTG02,sub-r1hub-nprd-01
DEVRHUBWSTG03,sub-r1hub-nprd-01
DEVRHUBWWEB01,sub-r1hub-nprd-01
DEVRHUBWWEB03,sub-r1hub-nprd-01
DEVRHUBWWEB04,sub-r1hub-nprd-01
DEVRHUBWWEB05,sub-r1hub-nprd-01
DEVRHUBWWEB06,sub-r1hub-nprd-01
DEVRHUBWWEB08,sub-r1hub-nprd-01
DEVRHUBWWEB09,sub-r1hub-nprd-01
DEVRHUBWWEB10,sub-r1hub-nprd-01
DEVRHUBWWEB11,sub-r1hub-nprd-01
DEVRHUBWWEB12,sub-r1hub-nprd-01
DEVRHUBWWEB13,sub-r1hub-nprd-01
DEVRHUBWWEB14,sub-r1hub-nprd-01
DEVRHUBWWEB15,sub-r1hub-nprd-01
DEVRHUBWWEB26,sub-r1hub-nprd-01
DEVRONEXWEB01,sub-general-nprd-01
DEVSMTPWGTW01,sub-general-nprd-01
DEVSNOWWAPP01,sub-general-nprd-01
DEVSOAMWDSS01,sub-r1hub-nprd-01
DEVSOAMWDSS02,sub-r1hub-nprd-01
DEVSOAMWDSS03,sub-r1hub-nprd-01
DEVSOAMWDSS04,sub-r1hub-nprd-01
DEVSOAMWGTW01,sub-r1hub-nprd-01
DEVSOAMWGTW02,sub-r1hub-nprd-01
DEVSOAMWGTW03,sub-r1hub-nprd-01
DEVSOAMWISS01,sub-r1hub-nprd-01
DEVSOAMWISS02,sub-r1hub-nprd-01
DEVSOAMWMON01,sub-r1hub-nprd-01
DEVSOAMWREN01,sub-r1hub-nprd-01
DEVSOAMWREN02,sub-r1hub-nprd-01
DEVSOAMWREN03,sub-r1hub-nprd-01
DEVSOAMWREN04,sub-r1hub-nprd-01
DEVSOAMWTCC01,sub-r1hub-nprd-01
DEVSOAMWUMM04,sub-r1hub-nprd-01
DEVSOAMWUMM06,sub-r1hub-nprd-01
DEVSOAMWUMM08,sub-r1hub-nprd-01
DEVTABLWMST01,sub-general-nprd-01
DEVTABLWMST02,sub-general-nprd-01
DEVTRHUBWTRN13,sub-r1hub-nprd-01
DEVTRHUBWWEB03,sub-r1hub-nprd-01
DEVTRHUBWWEB04,sub-r1hub-nprd-01
DEVTSOAMWGTW02,sub-r1hub-nprd-01
DEVTSOAMWREN02,sub-r1hub-nprd-01
DEVTWNWSOA01,sub-r1hub-nprd-01
NEXGRHUBWWEB03,sub-r1hub-nprd-01
NEXGRHUBWWEB04,sub-r1hub-nprd-01
NEXGRHUBWWEB05,sub-r1hub-nprd-01
DEVGWSTWAPP01,sub-r1hub-nprd-01
AMATUATWSQL06,sub-r1-intelligentautomation-01
AMATDEVWAPP01,sub-intelligent-automation-01
AMATDEVWFIL02,sub-intelligent-automation-01
AMATDEVWFIL03,sub-intelligent-automation-01
AMATDEVWIQB03,sub-intelligent-automation-01
AMATDEVWIQB04,sub-intelligent-automation-01
AMATDEVWIQB05,sub-intelligent-automation-01
AMATDEVWWEB03,sub-intelligent-automation-01
AMATDEVWWEB04,sub-intelligent-automation-01
AMATDEVWWEB05,sub-intelligent-automation-01
AMATDEVWWEB06,sub-intelligent-automation-01
AMATDEVWWEB07,sub-intelligent-automation-01
AMATDEVWWEB08,sub-intelligent-automation-01
DEVCONTWCOR01,sub-general-nprd-01
DEVCONTWCOR02,sub-general-nprd-01
DEVCONTWWEB03,sub-general-nprd-01
DEVCONTWWEB04,sub-general-nprd-01
DEVCPASWAPI01,sub-general-nprd-01
DEVCPASWAPI01OL,sub-general-nprd-01
DEVCPASWAPI02,sub-general-nprd-01
DEVCPASWDSA01,sub-general-nprd-01
DEVCPASWRPT01,sub-general-nprd-01
DEVCPASWRPT02,sub-general-nprd-01
DEVCPASWTRN01,sub-general-nprd-01
DEVCPASWTRN02,sub-general-nprd-01
DEVCPASWTRN10,sub-general-nprd-01
DEVCPASWTRN11,sub-general-nprd-01
DEVCPASWWEB02,sub-general-nprd-01
DEVCPASWWEB04,sub-general-nprd-01
DEVCPASWWEB10,sub-general-nprd-01
DEVCPASWWEB11,sub-general-nprd-01
DEVCONTWTRN01,sub-general-nprd-01
DEVCONTWTRN02,sub-general-nprd-01
DEVRRACWDBA01,sub-general-nprd-01
AHV-NDADEV01,sub-general-nprd-01
DEVRPWFMWWEB01,sub-general-nprd-01
DEVRWFMWDBA01,sub-general-nprd-01
DEVRQASTEWEB01,sub-general-nprd-01
DEVRWFMWDBA02,sub-general-nprd-01
QAARPWFMWDBA01,sub-general-nprd-01
QAARQASTEWEB01,sub-general-nprd-01
DEVRRACWWEB01,sub-general-nprd-01
QAARRACWWEB01,sub-general-nprd-01
QAARPWFMWWEB01,sub-general-nprd-01
QAARWFMWDBA01,sub-general-nprd-01
